timestamp,nav
2024-01-01 09:30:00,100000
2024-01-01 09:31:00,100000
2024-01-01 09:32:00,100000
2024-01-01 09:33:00,100000
2024-01-01 09:34:00,100000
2024-01-01 09:35:00,100000
2024-01-01 09:36:00,100000
2024-01-01 09:37:00,100000
2024-01-01 09:38:00,100000
2024-01-01 09:39:00,100000
2024-01-01 09:40:00,100000
2024-01-01 09:41:00,100000
2024-01-01 09:42:00,100000
2024-01-01 09:43:00,100000
2024-01-01 09:44:00,100000
2024-01-01 09:45:00,100000
2024-01-01 09:46:00,100000
2024-01-01 09:47:00,100000
2024-01-01 09:48:00,100000
2024-01-01 09:49:00,100000
2024-01-01 09:50:00,100000
2024-01-01 09:51:00,100000
2024-01-01 09:52:00,100000
2024-01-01 09:53:00,100000
2024-01-01 09:54:00,100000
2024-01-01 09:55:00,100000
2024-01-01 09:56:00,100000
2024-01-01 09:57:00,100000
2024-01-01 09:58:00,100000
2024-01-01 09:59:00,100000
2024-01-01 10:00:00,100000
2024-01-01 10:01:00,100000
2024-01-01 10:02:00,100000
2024-01-01 10:03:00,100000
2024-01-01 10:04:00,100000
2024-01-01 10:05:00,100000
2024-01-01 10:06:00,100000
2024-01-01 10:07:00,100000
2024-01-01 10:08:00,100000
2024-01-01 10:09:00,100000
2024-01-01 10:10:00,100000
2024-01-01 10:11:00,100000
2024-01-01 10:12:00,100000
2024-01-01 10:13:00,100000
2024-01-01 10:14:00,100000
2024-01-01 10:15:00,100000
2024-01-01 10:16:00,100000
2024-01-01 10:17:00,100000
2024-01-01 10:18:00,100000
2024-01-01 10:19:00,100000
2024-01-01 10:20:00,100000
2024-01-01 10:21:00,100000
2024-01-01 10:22:00,100000
2024-01-01 10:23:00,100000
2024-01-01 10:24:00,100000
2024-01-01 10:25:00,100000
2024-01-01 10:26:00,100000
2024-01-01 10:27:00,100000
2024-01-01 10:28:00,100000
2024-01-01 10:29:00,100000
2024-01-01 10:30:00,100000
2024-01-01 10:31:00,100000
2024-01-01 10:32:00,100000
2024-01-01 10:33:00,100000
2024-01-01 10:34:00,100000
2024-01-01 10:35:00,100000
2024-01-01 10:36:00,100000
2024-01-01 10:37:00,100000
2024-01-01 10:38:00,100000
2024-01-01 10:39:00,100000
2024-01-01 10:40:00,100000
2024-01-01 10:41:00,100000
2024-01-01 10:42:00,100000
2024-01-01 10:43:00,100000
2024-01-01 10:44:00,100000
2024-01-01 09:59:00,99945.7
2024-01-01 10:45:00,99834.7
2024-01-01 10:46:00,99724.2
2024-01-01 10:47:00,99857.2
2024-01-01 10:48:00,99990.7
2024-01-01 10:49:00,100074
2024-01-01 10:50:00,100196
2024-01-01 10:51:00,100285
2024-01-01 10:52:00,100407
2024-01-01 10:53:00,100524
2024-01-01 10:54:00,100646
2024-01-01 10:55:00,100774
2024-01-01 10:56:00,100907
2024-01-01 10:57:00,100985
2024-01-01 10:58:00,101112
2024-01-01 10:59:00,101224
2024-01-01 11:00:00,101346
2024-01-01 11:01:00,101424
2024-01-01 11:02:00,101307
2024-01-01 11:03:00,101196
2024-01-01 11:04:00,101074
2024-01-01 11:05:00,100957
2024-01-01 11:06:00,100846
2024-01-01 11:07:00,100724
2024-01-01 11:08:00,100835
2024-01-01 11:09:00,100957
2024-01-01 11:10:00,101074
2024-01-01 11:11:00,101196
2024-01-01 11:12:00,101329
2024-01-01 11:13:00,101457
2024-01-01 11:14:00,101535
2024-01-01 11:15:00,101624
2024-01-01 11:16:00,101507
2024-01-01 11:17:00,101391
2024-01-01 11:18:00,101274
2024-01-01 11:19:00,101157
2024-01-01 11:20:00,101046
2024-01-01 11:21:00,100924
2024-01-01 11:22:00,100807
2024-01-01 11:23:00,100696
2024-01-01 11:24:00,100579
2024-01-01 11:25:00,100457
2024-01-01 10:00:00,100398
