timestamp,price,volume
2025-09-02 08:00:00,230.9,3476
2025-09-02 08:01:00,230.7,4468
2025-09-02 08:03:00,231,1472
2025-09-02 08:04:00,231,1070
2025-09-02 08:05:00,230.95,1717
2025-09-02 08:08:00,231,1694
2025-09-02 08:10:00,231.25,962
2025-09-02 08:11:00,231.23,645
2025-09-02 08:13:00,231.01,2299
2025-09-02 08:14:00,231,1529
2025-09-02 08:20:00,231.04,702
2025-09-02 08:23:00,231.1,867
2025-09-02 08:25:00,231.14,332
2025-09-02 08:26:00,231.12,770
2025-09-02 08:28:00,231.12,587
2025-09-02 08:31:00,231.02,1179
2025-09-02 08:40:00,231.09,883
2025-09-02 08:43:00,231.2,668
2025-09-02 09:01:00,231.01,898
2025-09-02 09:07:00,231.03,226
2025-09-02 09:11:00,231.08,1000
2025-09-02 09:20:00,231.2,342
2025-09-02 09:21:00,231.2,630
2025-09-02 09:26:00,231.18,180
2025-09-02 09:27:00,231.15,934
2025-09-02 09:44:00,231.05,2797
2025-09-02 09:49:00,231,2613
2025-09-02 09:55:00,230.92,1481
2025-09-02 10:08:00,230.91,746
2025-09-02 10:09:00,230.95,651
2025-09-02 10:10:00,230.9,337
2025-09-02 10:11:00,231,185
2025-09-02 10:14:00,230.88,1358
2025-09-02 10:16:00,230.78,2421
2025-09-02 10:19:00,230.73,1104
2025-09-02 10:20:00,230.67,473
2025-09-02 10:25:00,230.62,900
2025-09-02 10:26:00,230.61,399
2025-09-02 10:27:00,230.54,1556
2025-09-02 10:28:00,230.5,2447
2025-09-02 10:30:00,230.28,860
2025-09-02 10:31:00,230.29,395
2025-09-02 10:32:00,230.54,602
2025-09-02 10:35:00,230.55,1253
2025-09-02 10:36:00,230.51,380
2025-09-02 10:37:00,230.5,1468
2025-09-02 10:43:00,230.39,368
2025-09-02 10:45:00,230.36,640
2025-09-02 10:54:00,230.29,1444
2025-09-02 10:55:00,230.41,1101
2025-09-02 10:56:00,230.41,293
2025-09-02 10:57:00,230.42,318
2025-09-02 11:00:00,230.44,5372
2025-09-02 11:01:00,230.35,1139
2025-09-02 11:02:00,230.49,5314
2025-09-02 11:03:00,230.61,555
2025-09-02 11:04:00,230.55,2381
2025-09-02 11:06:00,230.5,416
2025-09-02 11:08:00,230.59,1648
2025-09-02 11:10:00,230.41,3262
2025-09-02 11:11:00,230.42,3419
2025-09-02 11:14:00,230.45,840
2025-09-02 11:16:00,230.47,443
2025-09-02 11:20:00,230.53,963
2025-09-02 11:22:00,230.65,2458
2025-09-02 11:24:00,230.66,612
2025-09-02 11:26:00,230.73,876
2025-09-02 11:28:00,230.76,1293
2025-09-02 11:30:00,230.5,2851
2025-09-02 11:31:00,230.53,700
2025-09-02 11:32:00,230.58,767
2025-09-02 11:33:00,230.5,2708
2025-09-02 11:34:00,230.66,451
2025-09-02 11:35:00,230.52,1680
2025-09-02 11:40:00,230.6,700
2025-09-02 11:42:00,230.64,388
2025-09-02 11:45:00,230.6,457
2025-09-02 11:47:00,230.55,759
2025-09-02 11:48:00,230.57,2975
2025-09-02 11:51:00,230.57,698
2025-09-02 11:52:00,230.5,1327
2025-09-02 11:54:00,230.63,1302
2025-09-02 11:55:00,230.63,281
2025-09-02 12:00:00,230.51,74116
2025-09-02 12:01:00,230.42,3076
2025-09-02 12:02:00,230.4499,6385
2025-09-02 12:03:00,230.36,1756
2025-09-02 12:04:00,230.41,972
2025-09-02 12:05:00,230.4604,1234
2025-09-02 12:06:00,230.61,598
2025-09-02 12:07:00,230.53,1169
2025-09-02 12:08:00,230.45,11275
